location,latitude,longitude,buffer_m,visibility,true_coordinates,comments,internal_wildtrax_id
1084-4,,,5500,Visible,t,,511160
1084-5,,,5500,Visible,t,,511161
1084-6,,,5500,Visible,t,,511162
1084-7,,,5500,Visible,t,,511163
1084-8,,,5500,Visible,t,,511164
1084-9,,,5500,Visible,t,,511166
1092-1,,,5500,Visible,t,,513952
1092-2,,,5500,Visible,t,,513953
1092-3,,,5500,Visible,t,,513954
1092-4,,,5500,Visible,t,,513955
1092-5,,,5500,Visible,t,,513956
1092-6,,,5500,Visible,t,,513957
1092-7,,,5500,Visible,t,,513958
1092-8,,,5500,Visible,t,,513959
1092-9,,,5500,Visible,t,,513960
1093-1,,,5500,Visible,t,,513961
1093-2,,,5500,Visible,t,,513962
1093-3,,,5500,Visible,t,,513963
1093-4,,,5500,Visible,t,,513964
1093-5,,,5500,Visible,t,,513966
1093-6,,,5500,Visible,t,,513967
1093-7,,,5500,Visible,t,,513965
1093-8,,,5500,Visible,t,,513968
1093-9,,,5500,Visible,t,,513969
1094-1,,,5500,Visible,t,,513970
